metric,value
dataset_id,FarmerlineML/Twi_TTS2026_dataset
split,train
streaming,True
row_limit,1000
audio_column,audio
decode_audio,False
rows_scanned,1000
empty_text_rows,0
missing_duration_rows,0
unique_characters,31
unique_lowercase_tokens,2969
duplicated_unique_texts,0
duplicated_text_rows,0
duration_seconds_min,2
duration_seconds_p05,4.56
duration_seconds_median,6.44
duration_seconds_mean,6.58455
duration_seconds_p95,9.102
duration_seconds_max,11.72
text_chars_min,39
text_chars_p05,63
text_chars_median,77
text_chars_mean,77.019
text_chars_p95,92
text_chars_max,111
text_tokens_min,8
text_tokens_p05,16
text_tokens_median,16
text_tokens_mean,15.985
text_tokens_p95,16
text_tokens_max,16
