character,farmerline_count,phoneme_dataset_count,in_farmerline,in_phoneme_dataset,unicode_name,unicode_category
 ,14985,16992,True,True,SPACE,Zs
!,0,36,False,True,EXCLAMATION MARK,Po
',36,0,True,False,APOSTROPHE,Po
",",0,1579,False,True,COMMA,Po
-,0,18,False,True,HYPHEN-MINUS,Pd
.,0,874,False,True,FULL STOP,Po
:,0,228,False,True,COLON,Po
;,0,153,False,True,SEMICOLON,Po
?,0,90,False,True,QUESTION MARK,Po
A,0,570,False,True,LATIN CAPITAL LETTER A,Lu
B,0,48,False,True,LATIN CAPITAL LETTER B,Lu
D,0,266,False,True,LATIN CAPITAL LETTER D,Lu
E,0,242,False,True,LATIN CAPITAL LETTER E,Lu
F,0,26,False,True,LATIN CAPITAL LETTER F,Lu
G,0,29,False,True,LATIN CAPITAL LETTER G,Lu
H,0,70,False,True,LATIN CAPITAL LETTER H,Lu
I,0,71,False,True,LATIN CAPITAL LETTER I,Lu
K,0,65,False,True,LATIN CAPITAL LETTER K,Lu
L,0,8,False,True,LATIN CAPITAL LETTER L,Lu
M,0,218,False,True,LATIN CAPITAL LETTER M,Lu
N,0,603,False,True,LATIN CAPITAL LETTER N,Lu
O,0,66,False,True,LATIN CAPITAL LETTER O,Lu
P,0,25,False,True,LATIN CAPITAL LETTER P,Lu
R,0,213,False,True,LATIN CAPITAL LETTER R,Lu
S,0,134,False,True,LATIN CAPITAL LETTER S,Lu
T,0,28,False,True,LATIN CAPITAL LETTER T,Lu
U,0,204,False,True,LATIN CAPITAL LETTER U,Lu
W,0,254,False,True,LATIN CAPITAL LETTER W,Lu
Y,0,220,False,True,LATIN CAPITAL LETTER Y,Lu
a,9119,10840,True,True,LATIN SMALL LETTER A,Ll
b,1869,1525,True,True,LATIN SMALL LETTER B,Ll
c,33,0,True,False,LATIN SMALL LETTER C,Ll
d,1531,1759,True,True,LATIN SMALL LETTER D,Ll
e,4486,5447,True,True,LATIN SMALL LETTER E,Ll
f,939,1264,True,True,LATIN SMALL LETTER F,Ll
g,211,255,True,True,LATIN SMALL LETTER G,Ll
h,1411,1375,True,True,LATIN SMALL LETTER H,Ll
i,3135,3468,True,True,LATIN SMALL LETTER I,Ll
j,19,0,True,False,LATIN SMALL LETTER J,Ll
k,2113,1718,True,True,LATIN SMALL LETTER K,Ll
l,192,245,True,True,LATIN SMALL LETTER L,Ll
m,3474,4205,True,True,LATIN SMALL LETTER M,Ll
n,7290,8659,True,True,LATIN SMALL LETTER N,Ll
o,4701,5422,True,True,LATIN SMALL LETTER O,Ll
p,625,627,True,True,LATIN SMALL LETTER P,Ll
q,2,0,True,False,LATIN SMALL LETTER Q,Ll
r,1442,1866,True,True,LATIN SMALL LETTER R,Ll
s,3313,2880,True,True,LATIN SMALL LETTER S,Ll
t,1249,1277,True,True,LATIN SMALL LETTER T,Ll
u,2111,2135,True,True,LATIN SMALL LETTER U,Ll
v,23,0,True,False,LATIN SMALL LETTER V,Ll
w,2233,2402,True,True,LATIN SMALL LETTER W,Ll
x,2,0,True,False,LATIN SMALL LETTER X,Ll
y,3146,2007,True,True,LATIN SMALL LETTER Y,Ll
z,5,0,True,False,LATIN SMALL LETTER Z,Ll
ã,12,0,True,False,LATIN SMALL LETTER A WITH TILDE,Ll
Ɔ,0,53,False,True,LATIN CAPITAL LETTER OPEN O,Lu
Ɛ,0,78,False,True,LATIN CAPITAL LETTER OPEN E,Lu
ɔ,2397,3421,True,True,LATIN SMALL LETTER OPEN O,Ll
ɛ,4915,3861,True,True,LATIN SMALL LETTER OPEN E,Ll
